Time;Temperatura
02/12/2024 20:15;28.8 °C
02/12/2024 20:30;28.8 °C
02/12/2024 20:45;28.7 °C
02/12/2024 21:00;28.8 °C
02/12/2024 21:15;29.9 °C
02/12/2024 21:30;31.4 °C
02/12/2024 21:45;33.4 °C
02/12/2024 22:00;32.7 °C
02/12/2024 22:15;34.2 °C
02/12/2024 22:30;35.7 °C
02/12/2024 22:45;33.0 °C
02/12/2024 23:00;30.8 °C
02/12/2024 23:15;30.1 °C
02/12/2024 23:30;29.2 °C
02/12/2024 23:45;28.3 °C
03/12/2024 00:00;28.8 °C
03/12/2024 00:15;29.5 °C
03/12/2024 00:30;29.1 °C
03/12/2024 00:45;29.1 °C
03/12/2024 01:00;29.7 °C
03/12/2024 01:15;30.5 °C
03/12/2024 01:30;30.6 °C
03/12/2024 01:45;30.9 °C
03/12/2024 02:00;30.6 °C
03/12/2024 02:15;30.6 °C
03/12/2024 02:30;30.6 °C
03/12/2024 02:45;30.0 °C
03/12/2024 03:00;30.4 °C
03/12/2024 03:15;31.0 °C
03/12/2024 03:30;31.4 °C
03/12/2024 03:45;31.2 °C
03/12/2024 04:00;31.3 °C
03/12/2024 04:15;31.6 °C
03/12/2024 04:30;33.2 °C
03/12/2024 04:45;34.9 °C
03/12/2024 05:00;35.2 °C
03/12/2024 05:15;34.3 °C
03/12/2024 05:30;34.3 °C
03/12/2024 05:45;34.7 °C
03/12/2024 06:00;35.4 °C
03/12/2024 06:15;36.7 °C
03/12/2024 06:30;38.6 °C
03/12/2024 06:45;39.3 °C
03/12/2024 07:00;37.9 °C
03/12/2024 07:15;37.8 °C
03/12/2024 07:30;35.9 °C
03/12/2024 07:45;33.8 °C
03/12/2024 08:00;32.8 °C
03/12/2024 08:15;32.7 °C
03/12/2024 08:30;31.8 °C
03/12/2024 08:45;32.4 °C
03/12/2024 09:00;31.5 °C
03/12/2024 09:15;30.0 °C
03/12/2024 09:30;31.1 °C
03/12/2024 09:45;31.2 °C
03/12/2024 10:00;31.3 °C
03/12/2024 10:15;31.4 °C
03/12/2024 10:30;30.4 °C
03/12/2024 10:45;27.8 °C
03/12/2024 11:00;28.8 °C
03/12/2024 11:15;29.0 °C
03/12/2024 11:30;29.3 °C
03/12/2024 11:45;29.9 °C
03/12/2024 12:00;30.2 °C
03/12/2024 12:15;30.8 °C
03/12/2024 12:30;31.7 °C
03/12/2024 12:45;32.5 °C
03/12/2024 13:00;32.9 °C
03/12/2024 13:15;34.1 °C
