Time,Vazao
2024-12-02 14:45:00,265.000000
2024-12-02 15:00:00,259.000000
2024-12-02 15:15:00,247.000000
2024-12-02 15:30:00,237.000000
2024-12-02 15:45:00,238.000000
2024-12-02 16:00:00,215.000000
2024-12-02 16:15:00,206.000000
2024-12-02 16:30:00,181.000000
2024-12-02 16:45:00,156.000000
2024-12-02 17:00:00,141.000000
2024-12-02 17:15:00,166.000000
2024-12-02 17:30:00,156.000000
2024-12-02 17:45:00,157.000000
2024-12-02 18:00:00,163.000000
2024-12-02 18:15:00,157.000000
2024-12-02 18:30:00,167.000000
2024-12-02 18:45:00,189.000000
2024-12-02 19:00:00,175.000000
2024-12-02 19:15:00,203.000000
2024-12-02 19:30:00,206.000000
2024-12-02 19:45:00,237.000000
2024-12-02 20:00:00,212.000000
2024-12-02 20:15:00,241.000000
2024-12-02 20:30:00,242.000000
2024-12-02 20:45:00,248.000000
2024-12-02 21:00:00,244.000000
2024-12-02 21:15:00,223.000000
2024-12-02 21:30:00,236.000000
2024-12-02 21:45:00,214.000000
2024-12-02 22:00:00,221.000000
2024-12-02 22:15:00,240.000000
2024-12-02 22:30:00,254.000000
2024-12-02 22:45:00,261.000000
2024-12-02 23:00:00,244.000000
2024-12-02 23:15:00,241.000000
2024-12-02 23:30:00,243.000000
2024-12-02 23:45:00,234.000000
2024-12-03 00:00:00,253.000000
2024-12-03 00:15:00,261.000000
2024-12-03 00:30:00,253.000000
2024-12-03 00:45:00,247.000000
2024-12-03 01:00:00,251.000000
2024-12-03 01:15:00,260.000000
2024-12-03 01:30:00,272.000000
2024-12-03 01:45:00,287.000000
2024-12-03 02:00:00,252.000000
2024-12-03 02:15:00,260.000000
2024-12-03 02:30:00,267.000000
2024-12-03 02:45:00,271.000000
2024-12-03 03:00:00,280.000000
2024-12-03 03:15:00,249.000000
2024-12-03 03:30:00,249.000000
2024-12-03 03:45:00,250.000000
2024-12-03 04:00:00,243.000000
2024-12-03 04:15:00,235.000000
2024-12-03 04:30:00,230.000000
2024-12-03 04:45:00,226.000000
2024-12-03 05:00:00,231.000000
2024-12-03 05:15:00,237.000000
2024-12-03 05:30:00,230.000000
2024-12-03 05:45:00,224.000000
2024-12-03 06:00:00,204.000000
2024-12-03 06:15:00,258.000000
2024-12-03 06:30:00,288.000000
2024-12-03 06:45:00,297.000000
2024-12-03 07:00:00,291.000000
2024-12-03 07:15:00,291.000000
2024-12-03 07:30:00,313.000000
2024-12-03 07:45:00,273.000000
2024-12-03 08:00:00,331.000000
2024-12-03 08:15:00,312.000000
2024-12-03 08:30:00,315.000000
2024-12-03 08:45:00,328.000000
2024-12-03 09:00:00,327.000000
2024-12-03 09:15:00,300.000000
2024-12-03 09:30:00,291.000000
2024-12-03 09:45:00,308.000000
2024-12-03 10:00:00,328.000000
2024-12-03 10:15:00,327.000000
2024-12-03 10:30:00,344.000000
2024-12-03 10:45:00,311.000000
2024-12-03 11:00:00,335.000000
2024-12-03 11:15:00,339.000000
2024-12-03 11:30:00,353.000000
2024-12-03 11:45:00,357.000000
2024-12-03 12:00:00,359.000000
2024-12-03 12:15:00,359.000000
2024-12-03 12:30:00,359.000000
2024-12-03 12:45:00,354.000000
2024-12-03 13:00:00,253.000000
2024-12-03 13:15:00,229.000000
2024-12-03 13:30:00,138.000000
2024-12-03 13:45:00,205.000000
2024-12-03 14:00:00,198.000000
2024-12-03 14:15:00,181.000000
2024-12-03 14:30:00,221.000000
2024-12-03 14:45:00,300.000000
2024-12-03 15:00:00,330.000000
2024-12-03 15:15:00,308.000000
2024-12-03 15:30:00,290.000000
2024-12-03 15:45:00,284.000000
