Time;Vazao
02/12/2024 14:45	265 m3/h
02/12/2024 15:00	259 m3/h
02/12/2024 15:15	247 m3/h
02/12/2024 15:30	237 m3/h
02/12/2024 15:45	238 m3/h
02/12/2024 16:00	215 m3/h
02/12/2024 16:15	206 m3/h
02/12/2024 16:30	181 m3/h
02/12/2024 16:45	156 m3/h
02/12/2024 17:00	141 m3/h
02/12/2024 17:15	166 m3/h
02/12/2024 17:30	156 m3/h
02/12/2024 17:45	157 m3/h
02/12/2024 18:00	163 m3/h
02/12/2024 18:15	157 m3/h
02/12/2024 18:30	167 m3/h
02/12/2024 18:45	189 m3/h
02/12/2024 19:00	175 m3/h
02/12/2024 19:15	203 m3/h
02/12/2024 19:30	206 m3/h
02/12/2024 19:45	237 m3/h
02/12/2024 20:00	212 m3/h
02/12/2024 20:15	241 m3/h
02/12/2024 20:30	242 m3/h
02/12/2024 20:45	248 m3/h
02/12/2024 21:00	244 m3/h
02/12/2024 21:15	223 m3/h
02/12/2024 21:30	236 m3/h
02/12/2024 21:45	214 m3/h
02/12/2024 22:00	221 m3/h
02/12/2024 22:15	240 m3/h
02/12/2024 22:30	254 m3/h
02/12/2024 22:45	261 m3/h
02/12/2024 23:00	244 m3/h
02/12/2024 23:15	241 m3/h
02/12/2024 23:30	243 m3/h
02/12/2024 23:45	234 m3/h
03/12/2024 00:00	253 m3/h
03/12/2024 00:15	261 m3/h
03/12/2024 00:30	253 m3/h
03/12/2024 00:45	247 m3/h
03/12/2024 01:00	251 m3/h
03/12/2024 01:15	260 m3/h
03/12/2024 01:30	272 m3/h
03/12/2024 01:45	287 m3/h
03/12/2024 02:00	252 m3/h
03/12/2024 02:15	260 m3/h
03/12/2024 02:30	267 m3/h
03/12/2024 02:45	271 m3/h
03/12/2024 03:00	280 m3/h
03/12/2024 03:15	249 m3/h
03/12/2024 03:30	249 m3/h
03/12/2024 03:45	250 m3/h
03/12/2024 04:00	243 m3/h
03/12/2024 04:15	235 m3/h
03/12/2024 04:30	230 m3/h
03/12/2024 04:45	226 m3/h
03/12/2024 05:00	231 m3/h
03/12/2024 05:15	237 m3/h
03/12/2024 05:30	230 m3/h
03/12/2024 05:45	224 m3/h
03/12/2024 06:00	204 m3/h
03/12/2024 06:15	258 m3/h
03/12/2024 06:30	288 m3/h
03/12/2024 06:45	297 m3/h
03/12/2024 07:00	291 m3/h
03/12/2024 07:15	291 m3/h
03/12/2024 07:30	313 m3/h
03/12/2024 07:45	273 m3/h
03/12/2024 08:00	331 m3/h
03/12/2024 08:15	312 m3/h
03/12/2024 08:30	315 m3/h
03/12/2024 08:45	328 m3/h
03/12/2024 09:00	327 m3/h
03/12/2024 09:15	300 m3/h
03/12/2024 09:30	291 m3/h
03/12/2024 09:45	308 m3/h
03/12/2024 10:00	328 m3/h
03/12/2024 10:15	327 m3/h
03/12/2024 10:30	344 m3/h
03/12/2024 10:45	311 m3/h
03/12/2024 11:00	335 m3/h
03/12/2024 11:15	339 m3/h
03/12/2024 11:30	353 m3/h
03/12/2024 11:45	357 m3/h
03/12/2024 12:00	359 m3/h
03/12/2024 12:15	359 m3/h
03/12/2024 12:30	359 m3/h
03/12/2024 12:45	354 m3/h
03/12/2024 13:00	253 m3/h
03/12/2024 13:15	229 m3/h
03/12/2024 13:30	138 m3/h
03/12/2024 13:45	205 m3/h
03/12/2024 14:00	198 m3/h
03/12/2024 14:15	181 m3/h
03/12/2024 14:30	221 m3/h
03/12/2024 14:45	300 m3/h
03/12/2024 15:00	330 m3/h
03/12/2024 15:15	308 m3/h
03/12/2024 15:30	290 m3/h
03/12/2024 15:45	284 m3/h
03/12/2024 16:00	292 m3/h
03/12/2024 16:15	301 m3/h
03/12/2024 16:30	294 m3/h
03/12/2024 16:45	282 m3/h
03/12/2024 17:00	291 m3/h
03/12/2024 17:15	264 m3/h
03/12/2024 17:30	242 m3/h
03/12/2024 17:45	248 m3/h
03/12/2024 18:00	260 m3/h
03/12/2024 18:15	284 m3/h
03/12/2024 18:30	277 m3/h
03/12/2024 18:45	269 m3/h
03/12/2024 19:00	281 m3/h
03/12/2024 19:15	303 m3/h
03/12/2024 19:30	313 m3/h
03/12/2024 19:45	315 m3/h
03/12/2024 20:00	309 m3/h
