Time;BRUTO
03/12/2024 05:00;6.72
03/12/2024 05:15;6.73
03/12/2024 05:30;6.74
03/12/2024 05:45;6.76
03/12/2024 06:00;6.78
03/12/2024 06:15;6.80
03/12/2024 06:30;6.82
03/12/2024 06:45;6.84
03/12/2024 07:00;6.90
03/12/2024 07:15;6.93
03/12/2024 07:30;6.95
03/12/2024 07:45;6.97
03/12/2024 08:00;6.99
03/12/2024 08:15;6.98
03/12/2024 08:30;7.03
03/12/2024 08:45;7.07
03/12/2024 09:00;7.00
03/12/2024 09:15;6.95
03/12/2024 09:30;6.95
03/12/2024 09:45;6.96
03/12/2024 10:00;6.98
03/12/2024 10:15;6.99
03/12/2024 10:30;7.03
03/12/2024 10:45;7.15
03/12/2024 11:00;7.25
03/12/2024 11:15;7.33
03/12/2024 11:30;7.52
03/12/2024 11:45;7.71
03/12/2024 12:00;7.71
03/12/2024 12:15;7.70
03/12/2024 12:30;7.81
03/12/2024 12:45;7.98
03/12/2024 13:00;8.26
03/12/2024 13:15;8.34
03/12/2024 13:30;8.32
03/12/2024 13:45;8.34
03/12/2024 14:00;8.29
03/12/2024 14:15;8.31
03/12/2024 14:30;8.31
03/12/2024 14:45;8.35
03/12/2024 15:00;8.39
03/12/2024 15:15;8.41
03/12/2024 15:30;8.42
03/12/2024 15:45;8.40
03/12/2024 16:00;8.40
03/12/2024 16:15;8.37
03/12/2024 16:30;8.37
03/12/2024 16:45;8.37
03/12/2024 17:00;8.34
03/12/2024 17:15;8.39
03/12/2024 17:30;8.32
03/12/2024 17:45;8.24
03/12/2024 18:00;8.23
03/12/2024 18:15;8.23
03/12/2024 18:30;8.29
03/12/2024 18:45;8.24
03/12/2024 19:00;8.23
03/12/2024 19:15;8.23
03/12/2024 19:30;8.20
03/12/2024 19:45;8.18
03/12/2024 20:00;8.17
03/12/2024 20:15;8.17
03/12/2024 20:30;8.17
03/12/2024 20:45;8.14
03/12/2024 21:00;8.14
03/12/2024 21:15;8.17
03/12/2024 21:30;8.15
03/12/2024 21:45;8.17
03/12/2024 22:00;8.19
